Keyword,Type,Description
num_iter,I,"Number of iterations for the minimisation of $\\Omega$"
num_cg_steps,I,"During the minimisation of $\\Omega$ the number of Conjugate Gradient steps before resetting to Steepest Descents"
wannier_optimizer,S,"Wannierisation optimizer: conjugate gradients or guarded CG--L-BFGS with plateau and line-search-failure switching"
lbfgs_history_size,I,"Maximum number of secant pairs retained by the shadow or active L-BFGS history"
lbfgs_curvature_tol,R,"Relative positive-curvature floor in (0,1) used to damp L-BFGS secant pairs"
lbfgs_wolfe_c2,R,"Strong-Wolfe curvature constant used to validate accepted CG and L-BFGS secant pairs"
lbfgs_plateau_window,I,"Number of accepted CG steps used to detect an objective plateau"
lbfgs_plateau_rel_tol,R,"Relative objective decrease below which CG--L-BFGS switches optimizer"
lbfgs_min_cg_iterations,I,"Minimum number of accepted CG steps before a plateau-triggered L-BFGS switch"
conv_window,I,"The number of iterations over which convergence of $\\Omega$ is assessed"
conv_tol,P,"The convergence tolerance for finding $\\Omega$ (Ang*Ang)"
precond,L,"Use preconditioning"
sp_en_mix,R,"Mixing parameter $\\gamma$ for joint real-space and energy-variance localization"
sp_en_scale,R,"Energy-variance scale $C$ for joint space-energy localization (Ang*Ang/eV/eV)"
sp_en_power,R,"Power $p$ of the per-Wannier-function space-energy p-norm"
sp_en_trust_radius,R,"Maximum Frobenius norm of the anti-Hermitian update at any k-point"
sp_en_armijo_c1,R,"Sufficient-decrease constant for space-energy Armijo backtracking"
sp_en_backtrack_factor,R,"Step reduction factor for space-energy Armijo backtracking"
sp_en_max_backtracks,I,"Maximum rejected Armijo trials in one space-energy localization iteration"
sp_en_min_step,R,"Minimum step accepted by space-energy Armijo backtracking"
sp_en_grad_check,L,"Check the complete space-energy objective gradient by finite differences"
sp_en_grad_check_step,R,"Tangent-space displacement used by the space-energy gradient check"
sp_en_grad_check_tol,R,"Mixed absolute/relative tolerance for the space-energy gradient check"
sp_en_grad_tol,R,"Mesh-normalized space-energy gradient RMS required for convergence (Ang*Ang)"
write_info,L,"Write final per-Wannier-function space-energy diagnostics to seedname.info"
num_occ,I,"Number of occupied input Bloch bands used for occupations in seedname.info"
conv_noise_amp,R,"The amplitude of random noise applied towards end of minimisation procedure"
conv_noise_num,I,"The number of times random noise is applied"
num_dump_cycles,I,"Control frequency of check-pointing"
num_print_cycles,I,"Control frequency of printing"
write_r2mn,L,"Write matrix elements of $r^2$ between WF to file"
guiding_centres,L,"Use guiding centres"
num_guide_cycles,I,"Frequency of guiding centres"
num_no_guide_iter,I,"The number of iterations after which guiding centres are used"
trial_step,R,"The trial step length for the parabolic line search during the minimisation of $\\Omega$"
fixed_step,R,"The fixed step length to take during the minimisation of $\\Omega$, instead of doing a parabolic line search"
use_bloch_phases,L,"To use phases for initial projections"
site_symmetry,L,"To construct symmetry-adapted Wannier functions"
symmetrize_eps,R,"The convergence tolerance used in the symmetry-adapted mode"
slwf_num,I,"The number of objective WFs for selective localization"
slwf_constrain,L,"Whether to constrain the centres of the objective WFs"
slwf_lambda,R,"Value of the Lagrange multiplier for constraining the objective WFs"
slwf_centres,"I,R,R,R","The centres to which the objective WFs are to be constrained"
use_ss_functional,L,"Use Stengel-Spaldin functional in place of the Marzari-Vanderbilt functional"
